City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,145,Torbay,CA,47.6666,-52.7314,69.28,75,2,5.99,clear sky
146,146,Ilulissat,GL,69.2167,-51.1,37.42,60,75,9.22,broken clouds
147,147,Moussoro,TD,13.6408,16.4901,94.01,39,97,3.11,overcast clouds
148,148,Talaya,RU,61.3833,152.75,30.15,77,96,3.8,overcast clouds
149,149,Whitianga,NZ,-36.8333,175.7,48.02,74,55,8.23,broken clouds
150,150,Sokol,RU,59.4617,40.1206,52.38,96,100,12.86,light rain
151,151,Saint-Francois,FR,46.4154,3.9054,87.48,40,0,8.05,clear sky
152,152,Cabatuan,PH,10.8794,122.486,75.58,88,100,4.56,overcast clouds
153,153,Raudeberg,NO,61.9875,5.1352,60.4,95,100,20.09,light rain
154,154,Mastic Beach,US,40.7668,-72.8521,81.3,78,1,4.0,clear sky
155,155,Guantanamo,CU,20.1444,-75.2092,90.97,47,0,4.38,clear sky
156,156,Leningradskiy,RU,69.3833,178.4167,28.92,89,99,4.9,overcast clouds
157,157,Sokoto,NG,13.0609,5.239,85.75,53,95,7.27,overcast clouds
158,158,Deniliquin,AU,-35.5333,144.9667,48.0,70,28,7.29,scattered clouds
159,159,Ketchikan,US,55.3422,-131.6461,54.07,94,90,6.91,overcast clouds
160,160,Cidreira,BR,-30.1811,-50.2056,63.97,95,100,23.91,overcast clouds
161,161,Khatanga,RU,71.9667,102.5,53.8,75,84,10.09,broken clouds
162,162,Morondava,MG,-20.2833,44.2833,76.6,70,0,14.03,clear sky
163,163,Corum,TR,40.5,34.75,72.16,20,0,7.45,clear sky
164,164,Slave Lake,CA,55.2834,-114.769,55.89,65,24,8.25,few clouds
165,165,Port Elizabeth,ZA,-33.918,25.5701,68.09,55,12,13.73,few clouds
166,166,Dikson,RU,73.5069,80.5464,42.75,91,100,12.17,overcast clouds
167,167,Nanakuli,US,21.3906,-158.1547,76.95,69,1,5.75,clear sky
168,168,Bambous Virieux,MU,-20.3428,57.7575,71.22,68,38,14.5,scattered clouds
169,169,Uyuni,BO,-20.4597,-66.825,47.8,14,25,11.27,scattered clouds
170,170,Nantucket,US,41.2835,-70.0995,80.26,78,1,11.5,clear sky
171,171,Tiksi,RU,71.6872,128.8694,35.31,76,14,9.8,few clouds
172,172,Solnechnogorsk,RU,56.1833,36.9833,57.13,76,99,12.44,overcast clouds
173,173,Naze,JP,28.3667,129.4833,79.43,81,75,2.68,broken clouds
174,174,Fortuna,US,40.5982,-124.1573,53.65,96,90,4.61,overcast clouds
175,175,Ulaangom,MN,49.9811,92.0667,66.34,28,1,3.06,clear sky
176,176,Antofagasta,CL,-23.65,-70.4,65.21,58,1,11.25,clear sky
177,177,Moroni,KM,-11.7022,43.2551,77.31,76,70,1.39,broken clouds
178,178,Dingzhou,CN,38.5131,114.9956,67.55,95,1,5.97,light rain
179,179,San Rafael,AR,-34.6177,-68.3301,56.28,26,26,7.25,scattered clouds
180,180,Verkh-Usugli,RU,52.7,115.1667,44.15,99,100,4.54,moderate rain
181,181,Nadapuram,IN,11.7,75.6667,75.79,89,100,0.65,overcast clouds
182,182,Mecca,SA,21.4267,39.8261,101.34,31,95,16.08,overcast clouds
183,183,Hualmay,PE,-11.0964,-77.6139,63.48,81,99,9.01,overcast clouds
