City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Pattoki,PK,2021-09-05 21:17:57,31.0167,73.85,84.67,58,0,5.79
159,Castro,BR,2021-09-05 21:17:57,-24.7911,-50.0119,71.17,49,22,4.14
160,Talara,PE,2021-09-05 21:17:58,-4.5772,-81.2719,66.97,77,17,20.38
161,Limbang,MY,2021-09-05 21:17:58,4.75,115.0,77.31,93,82,2.42
162,Byron Bay,AU,2021-09-05 21:17:59,-28.65,153.6167,53.55,66,42,10.49
163,Sorland,NO,2021-09-05 21:17:59,67.667,12.6934,51.87,88,100,12.66
164,Joensuu,FI,2021-09-05 21:18:00,62.6012,29.7632,44.28,81,0,4.61
165,Pinega,RU,2021-09-05 21:18:00,64.7001,43.3936,40.37,96,100,11.07
166,Alofi,NU,2021-09-05 21:18:00,-19.0595,-169.9187,78.69,89,100,9.22
167,Broome,US,2021-09-05 21:18:01,42.2506,-75.833,73.02,90,100,1.01
168,Ozinki,RU,2021-09-05 21:18:01,51.1786,49.6769,51.58,44,10,5.59
169,Vilhena,BR,2021-09-05 21:18:02,-12.7406,-60.1458,91.62,38,75,4.61
170,Olinda,BR,2021-09-05 21:18:02,-8.0089,-34.8553,76.73,73,40,8.05
171,Porto-Vecchio,FR,2021-09-05 21:17:15,41.591,9.2795,71.13,88,0,3.44
172,Tulum,MX,2021-09-05 21:18:03,20.2167,-87.4667,86.05,63,83,7.14
173,Antofagasta,CL,2021-09-05 21:18:03,-23.65,-70.4,60.08,76,50,6.85
174,Palmer,US,2021-09-05 21:17:04,42.1584,-72.3287,69.37,83,90,5.75
175,Namibe,AO,2021-09-05 21:18:04,-15.1961,12.1522,63.05,85,2,5.53
176,Georgetown,MY,2021-09-05 21:18:05,5.4112,100.3354,78.89,90,20,2.3
177,Thanh Hoa,VN,2021-09-05 21:16:44,19.8,105.7667,76.44,93,52,1.63
178,Auki,SB,2021-09-05 21:18:05,-8.7676,160.7034,79.45,81,39,4.52
179,Marienburg,PL,2021-09-05 21:18:06,54.0359,19.0266,50.88,68,100,6.04
180,Acari,PE,2021-09-05 21:18:06,-15.4311,-74.6158,68.52,64,68,8.32
181,Mayo,US,2021-09-05 21:18:07,38.8876,-76.5119,78.94,83,90,0.0
182,Van Buren,US,2021-09-05 21:18:07,35.4368,-94.3483,92.35,51,1,5.75
183,Lima,PE,2021-09-05 21:17:58,-12.0432,-77.0282,59.25,77,75,13.8
184,Da Lat,VN,2021-09-05 21:18:08,11.9465,108.4419,58.78,96,94,1.81
185,Mar Del Plata,AR,2021-09-05 21:14:05,-38.0023,-57.5575,53.62,82,0,6.91
186,Kiama,AU,2021-09-05 21:18:08,-34.6833,150.8667,52.0,70,9,10.71
